Name,X_um,Y_um,Z_um,Timestamp
wg0_1,-1178.113,328.457,-514.129,2026-04-10T12:31:03.449610
wg0_49,-1181.781,330.796,-560.96,2026-04-03T17:19:38.921870
wg0_mid,-1178.095,328.428,-529.113,2026-04-10T21:57:03.537619
wg10_1,-1178.352,328.418,-513.911,2026-04-10T13:17:24.964118
wg10_49,-1181.902,332.605,-866.281,2026-04-03T17:09:59.387867
wg10_mid,-1180.84,332.305,-845.568,2026-04-03T17:07:07.989695
wg11_1,-1472.61,323.007,-816.015,2026-04-10T12:35:21.627935
wg11_49,-1477.741,324.355,-865.676,2026-04-03T18:28:44.744726
wg11_mid,-1476.26,324.455,-844.553,2026-04-03T17:29:31.100715
wg12_1,-1765.61,315.419,-814.744,2026-04-10T12:38:17.858594
wg12_49,-1771.486,316.368,-864.657,2026-04-03T18:34:20.562252
wg12_mid,-1771.485,315.873,-843.717,2026-04-03T18:36:44.621145
wg13_1,-2066.031,309.109,-815.275,2026-04-10T10:37:09.312820
wg13_49,-2073.195,308.355,-863.105,2026-04-03T18:39:40.509468
wg13_mid,-2072.81,307.672,-841.059,2026-04-03T18:41:11.039960
wg14_1,-867.2,336.302,-211.199,2026-04-10T12:47:30.749897
wg14_49,-872.919,338.363,-257.461,2026-04-03T20:18:30.146799
wg14_mid,-871.355,337.9,-235.28,2026-04-03T20:19:52.329060
wg15_1,320.513,374.94,-1120.293,2026-04-10T13:23:58.206246
wg15_49,316.483,376.822,-1170.982,2026-04-03T19:02:44.340647
wg15_mid,317.445,376.468,-1147.881,2026-04-03T19:03:41.959530
wg16_1,28.126,365.993,-1120.411,2026-04-10T12:49:09.433814
wg16_49,22.9,367.873,-1171.005,2026-04-03T19:06:20.861015
wg16_mid,23.521,367.975,-1147.55,2026-04-03T19:09:35.314322
wg17_1,-267.088,357.532,-1119.792,2026-04-10T12:41:11.751672
wg17_49,-272.031,359.54,-1169.922,2026-04-03T19:12:58.976589
wg17_mid,-269.608,359.807,-1147.288,2026-04-03T19:14:54.752097
wg18_1,-565.034,349.769,-1117.935,2026-04-10T12:50:51.690858
wg18_49,-569.563,351.81,-1168.977,2026-04-03T19:18:23.867894
wg18_mid,-568.143,351.617,-1145.469,2026-04-03T19:20:09.694122
wg19_1,-871.634,341.66,-1115.948,2026-04-10T12:52:23.859022
wg19_49,-874.539,344.169,-1167.115,2026-04-03T19:23:36.013254
wg19_mid,-874.439,343.647,-1143.78,2026-04-03T19:24:39.901261
wg1_1,-1472.509,321.03,-512.964,2026-04-10T12:58:19.500035
wg1_49,-1476.073,323.202,-559.305,2026-04-03T17:40:03.761886
wg1_mid,-1474.897,322.291,-538.37,2026-04-03T17:42:35.695985
wg20_1,-1177.936,332.96,-1114.048,2026-04-10T12:55:02.102619
wg20_49,-1182.592,334.367,-1165.616,2026-04-03T19:29:47.052311
wg20_mid,-1181.496,334.519,-1141.685,2026-04-03T19:30:43.237850
wg21_1,29.53,361.195,-517.583,2026-04-10T14:01:38.780110
wg21_49,-1479.753,326.94,-1163.432,2026-04-03T20:38:27.871339
wg21_mid,-1477.992,326.393,-1138.918,2026-04-03T19:34:34.519498
wg22_1,-262.518,353.884,-517.436,2026-04-10T14:02:39.997609
wg22_49,-1771.314,319.272,-1161.93,2026-04-03T19:37:37.104676
wg22_mid,-1771.223,319.307,-1137.634,2026-04-03T20:41:46.160262
wg23_1,-561.928,346.093,-515.879,2026-04-10T13:35:42.122148
wg23_49,-567.238,347.561,-565.344,2026-04-03T20:44:03.324184
wg23_mid,-566.066,348.47,-543.535,2026-04-03T20:44:46.467866
wg24_1,-870.706,337.934,-523.326,2026-04-10T13:37:45.915165
wg24_49,-873.881,340.092,-564.613,2026-04-03T20:13:26.631958
wg24_mid,-871.822,340.347,-541.28,2026-04-03T20:15:49.768097
wg2_1,-1765.194,313.95,-512.404,2026-04-10T13:05:21.632439
wg2_49,-1770.676,314.618,-559.559,2026-04-03T17:47:14.124113
wg2_mid,-1768.711,315.549,-538.697,2026-04-03T17:49:57.820817
wg3_1,-2066.736,304.736,-511.95,2026-04-10T13:08:41.580790
wg3_49,-2070.754,307.458,-558.107,2026-04-03T17:54:05.573458
wg3_mid,-2071.111,306.635,-537.857,2026-04-03T17:54:51.612198
wg4_1,-866.775,333.872,92.622,2026-04-10T14:05:16.854989
wg4_49,-2371.784,298.242,-557.919,2026-04-03T16:05:31.165973
wg4_mid,-2369.986,297.962,-537.11,2026-04-03T16:03:54.791576
wg5_1,323.222,373.229,-821.309,2026-04-10T13:12:33.290786
wg5_49,317.928,374.439,-869.378,2026-04-03T18:04:29.906797
wg5_mid,318.884,374.644,-848.121,2026-04-03T18:09:54.164152
wg6_1,28.748,364.01,-821.679,2026-04-10T12:45:15.054532
wg6_49,25.382,365.843,-869.832,2026-04-03T18:12:38.934715
wg6_mid,26.156,365.777,-848.439,2026-04-03T18:14:40.933186
wg7_1,-264.809,355.983,-821.758,2026-04-10T13:14:37.655847
wg7_49,-269.058,357.828,-868.938,2026-04-03T16:46:41.949778
wg7_mid,-268.967,357.356,-848.898,2026-04-03T18:17:51.181635
wg8_1,-566.135,347.636,-820.436,2026-04-10T13:15:51.325163
wg8_49,-569.165,349.952,-869.016,2026-04-03T18:21:25.168846
wg8_mid,-567.189,349.574,-848.499,2026-04-03T18:22:20.545933
wg9_1,-869.205,339.688,-819.483,2026-04-10T12:40:17.660103
wg9_49,-874.448,341.382,-868.069,2026-04-03T18:26:29.106651
wg9_mid,-872.783,341.603,-846.801,2026-04-03T16:58:02.679263
